"filename", "language", "Luau", "comment", "blank", "total"
"c:\Users\laede\sapphire\main\src\server\Autoexec\Admin\Power.luau", "Luau", 25, 3, 9, 37
"c:\Users\laede\sapphire\main\src\server\Autoexec\Admin\init.luau", "Luau", 37, 4, 15, 56
"c:\Users\laede\sapphire\main\src\server\Autoexec\UniqueId.luau", "Luau", 14, 1, 6, 21
"c:\Users\laede\sapphire\main\src\server\Autoexec\Work.luau", "Luau", 8, 1, 5, 14
"c:\Users\laede\sapphire\main\src\server\Main.server.luau", "Luau", 19, 1, 7, 27
"c:\Users\laede\sapphire\main\src\shared\Classes\Area.luau", "Luau", 52, 1, 18, 71
"c:\Users\laede\sapphire\main\src\shared\Classes\Buffer\Number.luau", "Luau", 49, 1, 13, 63
"c:\Users\laede\sapphire\main\src\shared\Classes\Buffer\init.luau", "Luau", 189, 1, 25, 215
"c:\Users\laede\sapphire\main\src\shared\Classes\Callback.luau", "Luau", 21, 1, 9, 31
"c:\Users\laede\sapphire\main\src\shared\Classes\Message.luau", "Luau", 77, 3, 23, 103
"c:\Users\laede\sapphire\main\src\shared\Classes\Raycast.luau", "Luau", 25, 3, 13, 41
"c:\Users\laede\sapphire\main\src\shared\Classes\Remote.luau", "Luau", 40, 3, 16, 59
"c:\Users\laede\sapphire\main\src\shared\Functions\Duplicate.luau", "Luau", 9, 1, 4, 14
"c:\Users\laede\sapphire\main\src\shared\Functions\GetCharacters.luau", "Luau", 8, 1, 3, 12
"c:\Users\laede\sapphire\main\src\shared\Functions\Partial.luau", "Luau", 7, 1, 2, 10
"c:\Users\laede\sapphire\main\src\shared\Functions\Pcall.luau", "Luau", 9, 1, 2, 12
"c:\Users\laede\sapphire\main\src\shared\Functions\PlayerFromHit.luau", "Luau", 13, 1, 5, 19
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Call.luau", "Luau", 14, 3, 5, 22
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Fetch\Close.luau", "Luau", 19, 1, 5, 25
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Fetch\Insert.luau", "Luau", 5, 1, 1, 7
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Fetch\Match.luau", "Luau", 21, 1, 3, 25
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Fetch\P.luau", "Luau", 12, 1, 5, 18
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Fetch\Player.luau", "Luau", 8, 1, 4, 13
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Fetch\Random.luau", "Luau", 6, 1, 2, 9
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Fetch\Team.luau", "Luau", 8, 1, 4, 13
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Fetch\init.luau", "Luau", 40, 1, 10, 51
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Functions\FF.luau", "Luau", 6, 1, 1, 8
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Functions\Kick.luau", "Luau", 5, 1, 1, 7
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Functions\Refresh.luau", "Luau", 11, 1, 1, 13
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Functions\Respawn.luau", "Luau", 3, 1, 1, 5
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Functions\Team.luau", "Luau", 3, 1, 1, 5
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Functions\Teleport.luau", "Luau", 5, 1, 1, 7
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Functions\Unff.luau", "Luau", 10, 1, 1, 12
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\Functions\init.luau", "Luau", 10, 1, 3, 14
"c:\Users\laede\sapphire\main\src\shared\Resources\Commands\init.luau", "Luau", 57, 1, 4, 62
"c:\Users\laede\sapphire\main\src\shared\Services\Keybind.luau", "Luau", 2, 1, 2, 5
"c:\Users\laede\sapphire\main\src\shared\Services\Request.luau", "Luau", 26, 1, 8, 35
"c:\Users\laede\sapphire\main\src\shared\Services\UniqueId.luau", "Luau", 46, 4, 16, 66
"c:\Users\laede\sapphire\main\src\shared\Services\Work.luau", "Luau", 38, 1, 16, 55
"Total", "-", 957, 55, 270, 1282
